Seitennummer;Fachbereich_manuell;Bezeichnung_Dienstleistung_manuell;Produkt_Nr;Produkt_Bez;Bezirk_Nr;Bezirk_Bez_kurz_manuell;Bezirk_Bez_manuell;Bezirk_Bez_lang_manuell;Median_2017;Stückkosten_2017;korr_Mengen_2017;Median_2018;Stückkosten_2018;korr_Mengen_2018;rel_Abw_zum_VJ
Seite 83;Bauen, Wohnen, Vermessen und Verkehr;die Begehung und Kontrolle eines Straßenkilometers;78816;Ueberwach.oeff.Str-T;41;Li;Lichtenberg;Lichtenberg;30,60;28,50;8.642;29,99;28,23;8.712;-0,96
Seite 83;Bauen, Wohnen, Vermessen und Verkehr;die Begehung und Kontrolle eines Straßenkilometers;78816;Ueberwach.oeff.Str-T;42;Rdf;Reinickendorf;Reinickendorf;30,60;29,21;10.067;29,99;28,16;10.127;-3,60
Seite 83;Bauen, Wohnen, Vermessen und Verkehr;die Begehung und Kontrolle eines Straßenkilometers;78816;Ueberwach.oeff.Str-T;0;Mittelwert/Summe;Mittelwert/Summe;Mittelwert/Summe;30,60;30,60;129.117;29,99;29,99;127.671;-1,97
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;31;Mi;Mitte;Mitte;34,29;34,01;55.243;34,31;34,39;51.723;1,13
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;32;FK;Friedrh.-Kreuzb.;Friedrichshain-Kreuzberg;34,29;32,96;21.895;34,31;38,12;8.714;15,68
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;33;Pa;Pankow;Pankow;34,29;33,44;69.495;34,31;33,59;64.407;0,46
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;34;CW;Charlb.-Wilmd.;Charlottenburg-Wilmersdorf;34,29;37,02;60.265;34,31;36,81;77.539;-0,58
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;35;Sp;Spandau;Spandau;34,29;33,08;81.316;34,31;33,82;65.541;2,24
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;36;SZ;Steglitz-Zehlend.;Steglitz-Zehlendorf;34,29;34,30;73.438;34,31;34,20;79.990;-0,29
Seite 85;Bauen, Wohnen, Vermessen und Verkehr;die Instandhaltung öffentlicher Straßenfläche pro bearbeitetem m²;79062;Unterhalt.oeff.Str-T;37;TS;Temph.-Schöneb.;Tempelhof-Schöneberg;34,29;40,11;35.600;34,31;34,23;31.368;-14,65
