Jahre;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
mittlere_Kosten_je_Antrag_in_Euro;83,01;81,68;139,04;161,66;175,53;168,37;114,16;123,09;122,59;140,03;158,89;173,92;200,76;196,75;210,48;211,83
Anzahl_der_Anträge;319729;322826;156073;101400;75154;67253;109237;104608;88638;77622;67594;61731;52980;66207;59160;55241
